"12203408","http://www.zhihu.com/api/v4/answers/12203408","19551144","00c3135bcf64921b64918d3698e238cf"," 听说最早是因为不知道怎么净化饮用水，发现酿成酒可以消毒。大概后来养成依赖心理了。<br>纯道听途说，仅供参考～～～ ","2","4","26/12/2010 14:25:37","26/12/2010 14:25:37","27/11/2017 11:53:39",
"12203516","http://www.zhihu.com/api/v4/answers/12203516","19551144","cea4890c31624b46a45116b10a2147b9"," 每晚忙完回家喝一杯是最好的休息。 ","5","0","26/12/2010 17:12:10","26/12/2010 17:12:10","27/11/2017 11:53:39",
"12206600","http://www.zhihu.com/api/v4/answers/12206600","19552705","17236dbda9d1e11286068ade7021c335"," 这个问题应该由王兴来回答。松禾资本为什么投资饭否？我胡扯几句。<br><br><ol><li>投资王兴。王兴的技术嗅觉、产品感觉和执行力，在中国互联网上都属于出类拔萃的。</li><li>王兴的团队。这个团队几经波折，捶不扁、砸不烂，同心同德，难得。而且这个团队配置合理，执行力很强。</li><li>联系到饭否背后的中国经济网，以及松禾资本的政府背景，很可能这不是一个一般意义上的VC投资。</li><li>独立微博可能的市场机会，也许还存在吧？</li></ol>","97","16","6/1/2011 20:08:03","6/1/2011 20:08:03","27/11/2017 14:44:32",
"12208266","http://www.zhihu.com/api/v4/answers/12208266","19553750","ff2c7c6f001c765d9d0c26ad5e412e03"," 规模 ","3","4","21/1/2011 00:08:41","21/1/2011 00:08:41","27/11/2017 10:07:09",
"12208280","http://www.zhihu.com/api/v4/answers/12208280","19553750","901fd8e91394641689cd932d212402eb"," 反问：为什么说京东商城会比亚马逊中国更接近亚马逊？<br>亚马逊是个技术公司，京东和卓越都是卖货的，哪里像了？ ","11","3","21/1/2011 02:38:14","21/1/2011 02:38:14","27/11/2017 10:07:09",
"12208724","http://www.zhihu.com/api/v4/answers/12208724","19552705","7b949b7eb5bf6c51e3a9b7b197c408f9"," VC是疯子，追逐最大利润，最大利润只可能来自最疯的那一些。<br><br>最疯的那一些在做什么不重要，重要的是他们可能做出什么来。 ","23","1","25/1/2011 10:36:08","25/1/2011 10:36:08","27/11/2017 14:44:32",
"12208835","http://www.zhihu.com/api/v4/answers/12208835","19554035","17236dbda9d1e11286068ade7021c335"," 不一定。Twitter有2亿用户，Facebook用户超过5亿，但它们都以某种方式对用户、信息做了区隔，让你在一个英文为主的网站上，几乎看不到英文，都是可能的。<br><br>对UGC网站来说，有效的区隔可以打败垃圾信息。Google搜索不是UGC，它跟垃圾信息作战的方式，是排序算法。 ","33","9","26/1/2011 00:23:37","26/1/2011 00:23:37","27/11/2017 14:45:45",
"12208840","http://www.zhihu.com/api/v4/answers/12208840","19554035","6bec872206d9884cd9535841b6a1f510"," 要看是什麼信息。<br><br>極端例子：假設我們生活在一個人人都隨身攜帶可偵測空氣濕度的 RFID 芯片的物聯網世界，這些芯片隨時可將你所在位置的濕度無線傳到某個數據中心。這樣的信息，顯然用戶數量越大，質量越高。<br><br>但凡是需要人肉腦力生產的信息（它好像有個名字叫「內容」），用戶數量越大，質量必定越低。 ","6","2","26/1/2011 00:36:26","26/1/2011 00:41:29","27/11/2017 14:45:45",
"12208841","http://www.zhihu.com/api/v4/answers/12208841","19554035","7b949b7eb5bf6c51e3a9b7b197c408f9"," BBS是一个很容易想到的例子。<br>任何用户都可以发起，任何用户都可以跟随发言，讨论。<br>并且，也允许任何用户就同一问题再次发起另一个讨论。<br>但是，小众论坛---高质量内容---帖子传播---更多人前来---话题水化---劣币驱逐良币，这一循环一直在继续。<br><br>原因是网络注意力分配不均衡，高质量内容较为容易吸引注意力。同时，高活跃度也较为容易吸引注意力。如果是高活跃度用户提供高质量内容，那当然很好。但是对海量用户而言，高活跃度用户往往意味着发言精力过于旺盛，而脑力活动基本停滞的那一群人。他们有更高的发言动机，更低下的内容质量。结果就是水化，具有更高发言动机的用户试图抢占注意力，他们也总能成功，而内容则败坏了。<br><br>高质量内容和知识相关，知识从来和禁制相关。上古是巫医，中古在西方是教士，中国是士人。现代则是经过专门训练的知识分子和行业专家，是专业行为。<br><br>专业行为必然服从精英组织，需要评判标准和裁判。在这个问题上：<br><br>1、民主不解决任何问题，群氓的智慧并不和正确相关。所以，Digg和Vote无效。<br>2、永远存在专断的小团体，无非是权威授予并非是自上而下，是自下而上。<br><br>所以，一个长青的BBS可以看到版主和管理员的长期辛勤劳动，不间断地用人力方法删除水贴，封杀用户，加精置顶，鼓励讨论，定期总结输出。事实上，是用一个元老院类似的精英团体对内容和用户实施控制。<br><br>Quora试图改变这一点，利用产品构架的问题打破死循环，迄今为止看起来是有效的。但即便如此，它依然是一个小众产品，得益于早期高质量的用户发布的高质量内容。硅谷的一批创业者和企业主完成了权威之间的彼此授权，他们的仰慕者完成了权威的确立。从产品层面上看，对于这些既有用户，Quora能够帮助他们建立内容产生的正向循环。但是，我依然不确信对于新增用户，Quora也有足够的引导和设定，使得他们遵循社区的规则和礼仪，变成优质内容的产生者。<br><br>最后一点：Google不是一个恰当的例子。Google恰恰是用了PageRank等技术，做了垃圾分类，选取了精华放在头几页内。如果承认这一点，那么或许可以说，去掉那些垃圾，Google本可以做得更好。<br><br>PS.定义问题<br><br>为了避免不必要的争论，所谓高质量内容应该有两种定义：<br><br>1、资讯和知识类，如目前议题所讨论的题目，说的是一类更准确、更全面也更深入的知识类内容。<br><br>2、人际互动类：在一个SNS社区里，高质量内容是指一切用户之间的交互，因为这种内容会对用户产生粘性，难于离开产品。 ","96","10","26/1/2011 00:36:46","26/1/2011 00:41:47","27/11/2017 14:45:45",
"12208852","http://www.zhihu.com/api/v4/answers/12208852","19554035","2aa06d0c24f1deb86cbd98c66da71860"," BBS的劣币驱逐良币问题不是由quora来解答的，twitter就很好的解决了。<br><br>Twitter其实就是一个bbs，而且bbs的管理权限下放到每个人，用户的follow和unfo都是在过滤用户和内容，而却随时简捷高效完成。打开一个list就和打开一个bbs和聊天室没有什么不同。follow一个list就立刻进了一个专门论坛，unfo某人就是剔除一个不想见用户。<b>twitter其实最个性化定制论坛。</b><br><br>广义聊天室和bbs的问题已经被twitter搞定，在这方面quora没有什么特别优势。quora试图在标准的twitter基础上向专业知识应用发展的一个尝试，这同yammer在内部信息传播的尝试一样，摄取twiitter的一部分特性在不同方向应用演化。<br><br><b>但是具体到quora来说，他更强调专业视角和经验分享，而避让纯客观题的解答，在关于百度知道的区分上这一点显得更加明显和刻意。</b>这样带来的一个缺陷和危险是，经过有限的试用之后，我个人目前的感受是和真诚的合格的专业人士扯淡，尽管我看见管理人员力图通过技术和人力的手段在作出一切努力让大家聚焦问题本身，想象一下开放之后要维持有用交流的成本会有多大。<br><br>个人建议根据quora并不如理想中的内容充实程度，以及考虑到竞争环境，<b>开放接入垂直论坛</b>则可以真正的让内容落地，成为一个真正有源头活水的有用应用。这样的做法和ifanti合作百度的方向相反，而这样的轨迹和当年的<b>discuz</b>很像很像。 ","12","2","26/1/2011 01:07:42","26/1/2011 01:40:16","27/11/2017 14:45:45",
